#          time         x_star         y_star           x_p1           y_p1           x_p2           y_p2           x_p3           y_p3           x_p4           y_p4 
       3.42308     0.00452384    -0.00510781       -1.34344        1.50864      -0.363547       0.919157      0.0346833      -0.511869     -0.0214314       0.229488 
       3.44231     0.00464021    -0.00499938       -1.37752        1.47725      -0.424278       0.892526       0.127215      -0.498588      -0.138952       0.182029 
       3.46154      0.0047528    -0.00488751       -1.41088        1.44509      -0.483112       0.861909        0.21568      -0.468925      -0.210988       0.075802 
       3.48077     0.00486088    -0.00477322       -1.44349        1.41216      -0.539784       0.827441       0.297195      -0.423963      -0.210303     -0.0567418 
           3.5     0.00496439    -0.00465802       -1.47533        1.37848      -0.594044       0.789276       0.369151      -0.365287       -0.12961      -0.168676 
       3.51923     0.00506428    -0.00454339        -1.5064        1.34408      -0.645648       0.747585       0.429299      -0.294912     0.00624332      -0.211495 
       3.53846     0.00516253    -0.00442994       -1.53667        1.30896      -0.694367       0.702554       0.475814      -0.215201       0.141235      -0.162408 
       3.55769      0.0052611    -0.00431675       -1.56613        1.27315      -0.739983       0.654384       0.507344      -0.128773       0.217545     -0.0439564 
       3.57692     0.00536086    -0.00420188       -1.59475        1.23667      -0.782294       0.603291       0.523032     -0.0384134       0.209587      0.0915625 
       3.59615      0.0054614    -0.00408348       -1.62254        1.19953      -0.821112       0.549503       0.522529      0.0530224       0.128651       0.194068 
       3.61538     0.00556153    -0.00396032       -1.64946        1.16176      -0.856264       0.493263       0.505983       0.142692      0.0072612       0.232626 
       3.63462      0.0056598    -0.00383191       -1.67551        1.12337      -0.887595       0.434821       0.474021        0.22785      -0.114716       0.197304 
       3.65385     0.00575471     -0.0036984       -1.70067        1.08439      -0.914968       0.374439       0.427719       0.305919      -0.197731      0.0978145 
       3.67308     0.00584499    -0.00356066       -1.72493        1.04483      -0.938262       0.312386       0.368557       0.374558      -0.209595     -0.0360497 
       3.69231     0.00592998     -0.0034202       -1.74827        1.00471      -0.957375        0.24894       0.298379       0.431719      -0.137848      -0.155977 
       3.71154     0.00601015    -0.00327871       -1.77069       0.964064      -0.972226       0.184384       0.219333       0.475693    -0.00502538      -0.209667 
       3.73077     0.00608709    -0.00313702       -1.79216       0.922904      -0.982751       0.119004       0.133821       0.505156       0.132805      -0.171398 
          3.75     0.00616243    -0.00299448       -1.81268       0.881253      -0.988907       0.053092      0.0444297       0.519198       0.217704     -0.0610419 
       3.76923     0.00623677    -0.00284953       -1.83224       0.839134      -0.990669     -0.0130608      -0.046128       0.517352       0.222097      0.0727456 
       3.78846     0.00630959    -0.00270069       -1.85082       0.796569      -0.988032     -0.0791611      -0.135088        0.49961       0.152318       0.181543 
       3.80769     0.00637966    -0.00254699       -1.86842        0.75358      -0.981013      -0.144917      -0.219704       0.466431      0.0358238       0.232045 
       3.82692     0.00644544    -0.00238814       -1.88503       0.710189      -0.969645      -0.210038      -0.297325       0.418741     -0.0897536       0.209138 
       3.84615     0.00650529    -0.00222453       -1.90063       0.666421      -0.953982      -0.274237      -0.365473       0.357918      -0.183184       0.117157 
       3.86538     0.00655772    -0.00205737       -1.91522       0.622297      -0.934098      -0.337234      -0.421921       0.285768      -0.207507     -0.0169558 
       3.88462     0.00660196    -0.00188863       -1.92879       0.577841      -0.910082       -0.39875       -0.46477       0.204483      -0.145289      -0.143754 
       3.90385     0.00663852    -0.00172052       -1.94133       0.533078      -0.882044      -0.458518      -0.492517       0.116589     -0.0167974      -0.207748 
       3.92308     0.00666912    -0.00155439       -1.95283        0.48803       -0.85011      -0.516275      -0.504128       0.024875       0.122552      -0.180753 
       3.94231     0.00669564    -0.00139008        -1.9633       0.442721      -0.814423       -0.57177       -0.49908     -0.0676967       0.215373     -0.0795117 
       3.96154     0.00671906    -0.00122653       -1.97271       0.397176      -0.775143       -0.62476      -0.477405      -0.158083       0.232076      0.0515058 
       3.98077     0.00673941    -0.00106259       -1.98107       0.351419      -0.732444      -0.675016      -0.439703      -0.243271       0.173911        0.16577 
             4     0.00675606   -0.000897494       -1.98838       0.305474      -0.686514      -0.722319      -0.387137      -0.320387      0.0631387       0.227832 
       4.01923     0.00676804   -0.000730928       -1.99462       0.259366      -0.637557      -0.766464      -0.321399      -0.386813     -0.0651368       0.217545 
